2025-12-26 09:42:25.169 | main | INFO  | mx.baz.conciliaciones.operaciones.dao.Impl.UploadInfoDaoImpl | File read successfully: C:\CREDITOJOBS\BATCREDITO\application.properties
2025-12-26 09:42:25.202 | main | INFO  | mx.baz.conciliaciones.operaciones.AppUploadInfo | Start the information loading process,
2025-12-26 09:42:30.969 | main | INFO  | mx.baz.conciliaciones.operaciones.AppUploadInfo | Connected to database successfully
2025-12-26 09:42:40.381 | main | INFO  | mx.baz.conciliaciones.operaciones.dao.Impl.UploadInfoDaoImpl | Get data for path
2025-12-26 09:42:42.093 | main | INFO  | mx.baz.conciliaciones.operaciones.AppUploadInfo | Route file: PathInfo(job=CARTERADELIM, ip=10.53.80.16, path=BackOfficeBaz\Operaciones\Operacion\Credito\MonitoreosDiarios, file=BAT1SB60.RESUMEN.CARTERADELIM.D, domain=PRODUCCIONBA, user=BusrConc, password=NuevaRepAln/094)
2025-12-26 09:42:45.803 | main | INFO  | mx.baz.conciliaciones.operaciones.utils.FSConn | URI: \\10.53.80.16\BackOfficeBaz\Operaciones\Operacion\Credito\MonitoreosDiarios\BAT1SB60.RESUMEN.CARTERADELIM.D251224
2025-12-26 09:42:45.804 | main | INFO  | mx.baz.conciliaciones.operaciones.utils.FSConn | URN: \\10.53.80.16\BackOfficeBaz\Operaciones\Operacion\Credito\MonitoreosDiarios
2025-12-26 09:42:45.804 | main | INFO  | mx.baz.conciliaciones.operaciones.utils.FSConn | IP: 10.53.80.16
2025-12-26 09:42:45.804 | main | INFO  | mx.baz.conciliaciones.operaciones.utils.FSConn | Path: BackOfficeBaz\Operaciones\Operacion\Credito\MonitoreosDiarios
2025-12-26 09:42:45.805 | main | INFO  | mx.baz.conciliaciones.operaciones.utils.FSConn | File: BAT1SB60.RESUMEN.CARTERADELIM.D251224
2025-12-26 09:42:45.805 | main | INFO  | mx.baz.conciliaciones.operaciones.utils.FSConn | User and Domain: PRODUCCIONBA\BusrConc
2025-12-26 09:43:40.304 | main | INFO  | mx.baz.conciliaciones.operaciones.utils.FSConn | Command: net use A: \\10.53.80.16\BackOfficeBaz\Operaciones\Operacion\Credito\MonitoreosDiarios NuevaRepAln/094 /user:PRODUCCIONBA\BusrConc
2025-12-26 09:43:43.735 | main | INFO  | mx.baz.conciliaciones.operaciones.utils.FSConn | Success conection to network drive: true
2025-12-26 09:43:43.743 | main | INFO  | mx.baz.conciliaciones.operaciones.utils.FSConn | Command: net use A: /delete
2025-12-26 09:43:44.999 | main | INFO  | mx.baz.conciliaciones.operaciones.utils.FSConn | Network driver closed
2025-12-26 09:46:46.098 | main | INFO  | mx.baz.conciliaciones.operaciones.dao.Impl.UploadInfoDaoImpl | File read successfully: C:\CREDITOJOBS\BATCREDITO\application.properties
2025-12-26 09:46:46.110 | main | INFO  | mx.baz.conciliaciones.operaciones.AppUploadInfo | Start the information loading process,
2025-12-26 09:46:51.071 | main | INFO  | mx.baz.conciliaciones.operaciones.AppUploadInfo | Connected to database successfully
2025-12-26 09:46:59.089 | main | INFO  | mx.baz.conciliaciones.operaciones.dao.Impl.UploadInfoDaoImpl | Get data for path
